clusters	colors
TR41511_c1_g1_i2	7	#3300FFFF
TR41419_c1_g1_i6	10	#FF00E6FF
TR41394_c0_g1_i2	2	#00FFB3FF
TR42477_c2_g8_i11	7	#3300FFFF
TR30028_c0_g1_i1	3	#00FFFFFF
TR42862_c2_g1_i1	2	#00FFB3FF
TR37056_c1_g2_i2	10	#FF00E6FF
TR42942_c0_g1_i4	2	#00FFB3FF
TR31169_c1_g1_i2	2	#00FFB3FF
TR39504_c0_g1_i4	2	#00FFB3FF
TR32366_c2_g1_i4	6	#0019FFFF
TR36295_c0_g1_i1	9	#CC00FFFF
TR23157_c0_g2_i1	9	#CC00FFFF
TR32216_c2_g1_i3	6	#0019FFFF
TR30991_c4_g1_i2	8	#8000FFFF
TR37618_c0_g1_i4	3	#00FFFFFF
TR41442_c1_g2_i1	2	#00FFB3FF
TR36754_c2_g1_i3	2	#00FFB3FF
TR36856_c3_g2_i3	10	#FF00E6FF
TR36061_c0_g1_i1	9	#CC00FFFF
TR42939_c0_g2_i2	2	#00FFB3FF
TR38826_c0_g1_i1	10	#FF00E6FF
TR31665_c1_g1_i3	3	#00FFFFFF
TR24655_c0_g1_i1	2	#00FFB3FF
TR39323_c3_g1_i2	2	#00FFB3FF
TR23860_c0_g1_i1	2	#00FFB3FF
TR42160_c0_g1_i4	2	#00FFB3FF
TR39139_c4_g2_i2	2	#00FFB3FF
TR41300_c1_g1_i8	2	#00FFB3FF
TR43241_c4_g2_i2	2	#00FFB3FF
TR35146_c2_g1_i8	7	#3300FFFF
TR36006_c1_g9_i1	9	#CC00FFFF
TR27574_c1_g1_i1	2	#00FFB3FF
TR38547_c0_g1_i3	10	#FF00E6FF
TR43258_c2_g1_i1	2	#00FFB3FF
TR31595_c1_g1_i4	1	#00FF66FF
TR37458_c0_g1_i1	2	#00FFB3FF
TR34488_c0_g2_i3	10	#FF00E6FF
TR35254_c0_g1_i1	2	#00FFB3FF
TR36006_c1_g1_i1	9	#CC00FFFF
TR42638_c1_g1_i6	2	#00FFB3FF
TR35856_c0_g1_i1	2	#00FFB3FF
TR33405_c2_g1_i15	7	#3300FFFF
TR34323_c5_g3_i3	6	#0019FFFF
TR42291_c2_g2_i1	2	#00FFB3FF
TR40852_c1_g2_i4	2	#00FFB3FF
TR43046_c0_g1_i2	2	#00FFB3FF
TR37921_c0_g1_i2	4	#00B2FFFF
TR38357_c0_g1_i8	7	#3300FFFF
TR42523_c2_g1_i4	2	#00FFB3FF
TR36400_c1_g2_i3	3	#00FFFFFF
TR1985_c0_g1_i1	6	#0019FFFF
TR42234_c1_g1_i2	2	#00FFB3FF
TR31158_c0_g1_i2	7	#3300FFFF
TR42501_c1_g1_i7	2	#00FFB3FF
TR38937_c1_g1_i6	5	#0066FFFF
TR39815_c1_g2_i12	1	#00FF66FF
TR42340_c0_g1_i3	2	#00FFB3FF
TR36593_c0_g1_i2	6	#0019FFFF
TR41402_c1_g4_i2	2	#00FFB3FF
TR42115_c0_g2_i2	2	#00FFB3FF
TR31510_c1_g1_i1	3	#00FFFFFF
TR41537_c1_g1_i11	1	#00FF66FF
TR4715_c0_g1_i1	8	#8000FFFF
TR36275_c0_g1_i1	9	#CC00FFFF
TR34426_c0_g2_i3	9	#CC00FFFF
TR37480_c2_g1_i5	2	#00FFB3FF
TR39379_c3_g3_i6	3	#00FFFFFF
TR41216_c0_g1_i7	2	#00FFB3FF
TR27145_c0_g1_i1	2	#00FFB3FF
TR41072_c0_g4_i1	7	#3300FFFF
TR42615_c0_g1_i5	3	#00FFFFFF
TR41776_c1_g1_i5	7	#3300FFFF
TR35269_c2_g1_i6	2	#00FFB3FF
TR42723_c0_g1_i2	7	#3300FFFF
TR34723_c2_g3_i4	2	#00FFB3FF
TR43012_c1_g1_i1	8	#8000FFFF
TR42237_c2_g3_i11	2	#00FFB3FF
TR41169_c1_g3_i1	2	#00FFB3FF
TR38919_c0_g1_i6	2	#00FFB3FF
TR31989_c0_g1_i3	2	#00FFB3FF
TR34110_c2_g3_i1	2	#00FFB3FF
TR36503_c1_g2_i6	3	#00FFFFFF
TR37458_c0_g1_i6	2	#00FFB3FF
TR34293_c0_g1_i1	10	#FF00E6FF
TR43251_c1_g2_i1	2	#00FFB3FF
TR43236_c1_g1_i4	2	#00FFB3FF
TR32591_c1_g2_i1	7	#3300FFFF
TR42078_c1_g2_i6	2	#00FFB3FF
TR37880_c0_g1_i3	7	#3300FFFF
TR42906_c0_g1_i5	2	#00FFB3FF
TR31665_c1_g1_i2	10	#FF00E6FF
TR28652_c1_g1_i3	10	#FF00E6FF
TR36742_c7_g3_i1	2	#00FFB3FF
TR40986_c1_g1_i14	2	#00FFB3FF
TR19398_c0_g2_i1	2	#00FFB3FF
